Deaths,Confirmed,Year,Month,Country_Name,Death_Rate,yyyy_mm
0,1,2020,2,Afghanistan,0.0,2020/02
4,165,2020,3,Afghanistan,0.0242,2020/03
60,2005,2020,4,Afghanistan,0.0299,2020/04
51,1870,2020,5,Afghanistan,0.0273,2020/05
11,223,2020,3,Albania,0.0493,2020/03
20,550,2020,4,Albania,0.0364,2020/04
0,83,2020,5,Albania,0.0,2020/05
0,1,2020,2,Algeria,0.0,2020/02
31,510,2020,3,Algeria,0.0608,2020/03
413,3337,2020,4,Algeria,0.1238,2020/04
44,1521,2020,5,Algeria,0.0289,2020/05
8,370,2020,3,Andorra,0.0216,2020/03
33,374,2020,4,Andorra,0.0882,2020/04
6,10,2020,5,Andorra,0.6,2020/05
1,7,2020,3,Angola,0.1429,2020/03
1,20,2020,4,Angola,0.05,2020/04
0,9,2020,5,Angola,0.0,2020/05
0,2,2020,3,Anguilla,0.0,2020/03
0,1,2020,4,Anguilla,0.0,2020/04
0,0,2020,5,Anguilla,,2020/05
0,7,2020,3,Antigua and Barbuda,0.0,2020/03
3,17,2020,4,Antigua and Barbuda,0.1765,2020/04
0,1,2020,5,Antigua and Barbuda,0.0,2020/05
20,820,2020,3,Argentina,0.0244,2020/03
187,3381,2020,4,Argentina,0.0553,2020/04
82,1329,2020,5,Argentina,0.0617,2020/05
3,482,2020,3,Armenia,0.0062,2020/03
29,1584,2020,4,Armenia,0.0183,2020/04
12,1109,2020,5,Armenia,0.0108,2020/05
0,50,2020,3,Aruba,0.0,2020/03
2,50,2020,4,Aruba,0.04,2020/04
1,1,2020,5,Aruba,1.0,2020/05
0,9,2020,1,Australia,0.0,2020/01
0,16,2020,2,Australia,0.0,2020/02
19,4532,2020,3,Australia,0.0042,2020/03
71,2189,2020,4,Australia,0.0324,2020/04
7,168,2020,5,Australia,0.0417,2020/05
0,10,2020,2,Austria,0.0,2020/02
108,9608,2020,3,Austria,0.0112,2020/03
472,5746,2020,4,Austria,0.0821,2020/04
34,371,2020,5,Austria,0.0916,2020/05
0,3,2020,2,Azerbaijan,0.0,2020/02
4,270,2020,3,Azerbaijan,0.0148,2020/03
19,1493,2020,4,Azerbaijan,0.0127,2020/04
5,513,2020,5,Azerbaijan,0.0097,2020/05
0,14,2020,3,Bahamas,0.0,2020/03
11,66,2020,4,Bahamas,0.1667,2020/04
0,12,2020,5,Bahamas,0.0,2020/05
0,40,2020,2,Bahrain,0.0,2020/02
4,527,2020,3,Bahrain,0.0076,2020/03
4,2470,2020,4,Bahrain,0.0016,2020/04
0,1558,2020,5,Bahrain,0.0,2020/05
5,49,2020,3,Bangladesh,0.102,2020/03
163,7618,2020,4,Bangladesh,0.0214,2020/04
46,6103,2020,5,Bangladesh,0.0075,2020/05
0,33,2020,3,Barbados,0.0,2020/03
6,47,2020,4,Barbados,0.1277,2020/04
1,2,2020,5,Barbados,0.5,2020/05
0,1,2020,2,Belarus,0.0,2020/02
0,151,2020,3,Belarus,0.0,2020/03
84,13029,2020,4,Belarus,0.0064,2020/04
37,7920,2020,5,Belarus,0.0047,2020/05
0,1,2020,2,Belgium,0.0,2020/02
513,11898,2020,3,Belgium,0.0431,2020/03
6988,35960,2020,4,Belgium,0.1943,2020/04
1020,4152,2020,5,Belgium,0.2457,2020/05
0,3,2020,3,Belize,0.0,2020/03
2,15,2020,4,Belize,0.1333,2020/04
0,0,2020,5,Belize,,2020/05
0,6,2020,3,Benin,0.0,2020/03
2,63,2020,4,Benin,0.0317,2020/04
0,173,2020,5,Benin,0.0,2020/05
0,22,2020,3,Bermuda,0.0,2020/03
6,89,2020,4,Bermuda,0.0674,2020/04
1,7,2020,5,Bermuda,0.1429,2020/05
0,4,2020,3,Bhutan,0.0,2020/03
0,3,2020,4,Bhutan,0.0,2020/04
0,0,2020,5,Bhutan,,2020/05
5,97,2020,3,Bolivia (Plurinational State of),0.0515,2020/03
50,956,2020,4,Bolivia (Plurinational State of),0.0523,2020/04
47,1028,2020,5,Bolivia (Plurinational State of),0.0457,2020/05
0,6,2020,4,"Bonaire, Sint Eustatius and Saba",0.0,2020/04
0,0,2020,5,"Bonaire, Sint Eustatius and Saba",,2020/05
9,359,2020,3,Bosnia and Herzegovina,0.0251,2020/03
55,1330,2020,4,Bosnia and Herzegovina,0.0414,2020/04
33,381,2020,5,Bosnia and Herzegovina,0.0866,2020/05
1,23,2020,4,Botswana,0.0435,2020/04
0,0,2020,5,Botswana,,2020/05
0,1,2020,2,Brazil,0.0,2020/02
136,4255,2020,3,Brazil,0.032,2020/03
4881,67630,2020,4,Brazil,0.0722,2020/04
4129,63220,2020,5,Brazil,0.0653,2020/05
0,2,2020,3,British Virgin Islands,0.0,2020/03
1,4,2020,4,British Virgin Islands,0.25,2020/04
0,1,2020,5,British Virgin Islands,0.0,2020/05
1,127,2020,3,Brunei Darussalam,0.0079,2020/03
0,11,2020,4,Brunei Darussalam,0.0,2020/04
0,3,2020,5,Brunei Darussalam,0.0,2020/05
8,359,2020,3,Bulgaria,0.0223,2020/03
56,1088,2020,4,Bulgaria,0.0515,2020/04
24,464,2020,5,Bulgaria,0.0517,2020/05
12,246,2020,3,Burkina Faso,0.0488,2020/03
30,392,2020,4,Burkina Faso,0.0765,2020/04
6,98,2020,5,Burkina Faso,0.0612,2020/05
1,15,2020,4,Burundi,0.0667,2020/04
0,4,2020,5,Burundi,0.0,2020/05
1,5,2020,3,Cabo Verde,0.2,2020/03
0,108,2020,4,Cabo Verde,0.0,2020/04
1,117,2020,5,Cabo Verde,0.0085,2020/05
0,1,2020,1,Cambodia,0.0,2020/01
0,0,2020,2,Cambodia,,2020/02
0,106,2020,3,Cambodia,0.0,2020/03
0,15,2020,4,Cambodia,0.0,2020/04
0,0,2020,5,Cambodia,,2020/05
6,139,2020,3,Cameroon,0.0432,2020/03
53,1667,2020,4,Cameroon,0.0318,2020/04
49,459,2020,5,Cameroon,0.1068,2020/05
0,4,2020,1,Canada,0.0,2020/01
0,10,2020,2,Canada,0.0,2020/02
66,6303,2020,3,Canada,0.0105,2020/03
2838,44046,2020,4,Canada,0.0644,2020/04
1567,15036,2020,5,Canada,0.1042,2020/05
1,12,2020,3,Cayman Islands,0.0833,2020/03
0,61,2020,4,Cayman Islands,0.0,2020/04
0,7,2020,5,Cayman Islands,0.0,2020/05
0,6,2020,3,Central African Republic,0.0,2020/03
0,44,2020,4,Central African Republic,0.0,2020/04
0,44,2020,5,Central African Republic,0.0,2020/05
0,5,2020,3,Chad,0.0,2020/03
2,47,2020,4,Chad,0.0426,2020/04
26,208,2020,5,Chad,0.125,2020/05
8,2449,2020,3,Chile,0.0033,2020/03
208,12436,2020,4,Chile,0.0167,2020/04
78,11087,2020,5,Chile,0.007,2020/05
213,9720,2020,1,China,0.0219,2020/01
2625,69669,2020,2,China,0.0377,2020/02
476,3156,2020,3,China,0.1508,2020/03
1329,1828,2020,4,China,0.727,2020/04
0,43,2020,5,China,0.0,2020/05
10,702,2020,3,Colombia,0.0142,2020/03
259,5247,2020,4,Colombia,0.0494,2020/04
138,3507,2020,5,Colombia,0.0393,2020/05
1,8,2020,5,Comoros,0.125,2020/05
0,19,2020,3,Congo,0.0,2020/03
9,201,2020,4,Congo,0.0448,2020/04
1,67,2020,5,Congo,0.0149,2020/05
2,314,2020,3,Costa Rica,0.0064,2020/03
4,391,2020,4,Costa Rica,0.0102,2020/04
0,60,2020,5,Costa Rica,0.0,2020/05
0,7,2020,2,Croatia,0.0,2020/02
6,783,2020,3,Croatia,0.0077,2020/03
61,1272,2020,4,Croatia,0.048,2020/04
19,99,2020,5,Croatia,0.1919,2020/05
4,170,2020,3,Cuba,0.0235,2020/03
54,1297,2020,4,Cuba,0.0416,2020/04
16,274,2020,5,Cuba,0.0584,2020/05
1,11,2020,3,Curacao,0.0909,2020/03
0,5,2020,4,Curacao,0.0,2020/04
0,0,2020,5,Curacao,,2020/05
7,230,2020,3,Cyprus,0.0304,2020/03
13,613,2020,4,Cyprus,0.0212,2020/04
1,48,2020,5,Cyprus,0.0208,2020/05
24,3002,2020,3,Czechia,0.008,2020/03
203,4577,2020,4,Czechia,0.0444,2020/04
46,498,2020,5,Czechia,0.0924,2020/05
0,169,2020,3,Côte d’Ivoire,0.0,2020/03
14,1069,2020,4,Côte d’Ivoire,0.0131,2020/04
6,364,2020,5,Côte d’Ivoire,0.0165,2020/05
8,98,2020,3,Democratic Republic of the Congo,0.0816,2020/03
23,402,2020,4,Democratic Republic of the Congo,0.0572,2020/04
8,437,2020,5,Democratic Republic of the Congo,0.0183,2020/05
0,3,2020,2,Denmark,0.0,2020/02
77,2574,2020,3,Denmark,0.0299,2020/03
366,6431,2020,4,Denmark,0.0569,2020/04
79,1210,2020,5,Denmark,0.0653,2020/05
0,31,2020,3,Djibouti,0.0,2020/03
2,1058,2020,4,Djibouti,0.0019,2020/04
1,100,2020,5,Djibouti,0.01,2020/05
0,11,2020,3,Dominica,0.0,2020/03
0,5,2020,4,Dominica,0.0,2020/04
0,0,2020,5,Dominica,,2020/05
42,901,2020,3,Dominican Republic,0.0466,2020/03
251,5751,2020,4,Dominican Republic,0.0436,2020/04
87,2724,2020,5,Dominican Republic,0.0319,2020/05
0,1,2020,2,Ecuador,0.0,2020/02
8,1961,2020,3,Ecuador,0.0041,2020/03
875,22713,2020,4,Ecuador,0.0385,2020/04
771,5623,2020,5,Ecuador,0.1371,2020/05
0,1,2020,2,Egypt,0.0,2020/02
41,655,2020,3,Egypt,0.0626,2020/03
351,4881,2020,4,Egypt,0.0719,2020/04
111,2939,2020,5,Egypt,0.0378,2020/05
0,30,2020,3,El Salvador,0.0,2020/03
9,347,2020,4,El Salvador,0.0259,2020/04
6,365,2020,5,El Salvador,0.0164,2020/05
0,14,2020,3,Equatorial Guinea,0.0,2020/03
1,301,2020,4,Equatorial Guinea,0.0033,2020/04
3,124,2020,5,Equatorial Guinea,0.0242,2020/05
0,6,2020,3,Eritrea,0.0,2020/03
0,33,2020,4,Eritrea,0.0,2020/04
0,0,2020,5,Eritrea,,2020/05
0,1,2020,2,Estonia,0.0,2020/02
3,714,2020,3,Estonia,0.0042,2020/03
47,951,2020,4,Estonia,0.0494,2020/04
6,59,2020,5,Estonia,0.1017,2020/05
0,9,2020,3,Eswatini,0.0,2020/03
1,82,2020,4,Eswatini,0.0122,2020/04
1,68,2020,5,Eswatini,0.0147,2020/05
0,23,2020,3,Ethiopia,0.0,2020/03
3,107,2020,4,Ethiopia,0.028,2020/04
1,64,2020,5,Ethiopia,0.0156,2020/05
0,13,2020,4,Falkland Islands (Malvinas),0.0,2020/04
0,0,2020,5,Falkland Islands (Malvinas),,2020/05
0,168,2020,3,Faroe Islands,0.0,2020/03
0,19,2020,4,Faroe Islands,0.0,2020/04
0,0,2020,5,Faroe Islands,,2020/05
0,5,2020,3,Fiji,0.0,2020/03
0,13,2020,4,Fiji,0.0,2020/04
0,0,2020,5,Fiji,,2020/05
